Date,GDP_Growth,Inflation_Rate,Interest_Rate,Exchange_Rate,Unemployment_Rate
2015Q1,6.1,6.5,5.5,78,4.8
2015Q2,6.3,6.2,5.5,78.3,4.7
2015Q3,6.4,6.1,5.5,78.5,4.6
2015Q4,6.5,6,5.5,78.7,4.6
2016Q1,6.6,5.8,5.5,78.9,4.5
2016Q2,6.7,5.9,5.75,79.1,4.5
2016Q3,6.8,6,5.75,79.3,4.4
2016Q4,7,6.1,5.75,79.5,4.4
2017Q1,7.1,6.2,6,79.7,4.3
2017Q2,7.2,6.3,6,80,4.3
2017Q3,7,6.1,6,80.2,4.4
2017Q4,6.8,5.9,6,80.4,4.4
2018Q1,6.6,5.8,6,80.7,4.5
2018Q2,6.5,5.7,6.25,80.9,4.6
2018Q3,6.4,5.9,6.25,81.1,4.6
2018Q4,6.2,6.1,6.25,81.3,4.7
2019Q1,6.3,6.3,6.25,81.5,4.8
2019Q2,6.2,6,6.25,81.7,4.9
2019Q3,6.1,5.8,6.25,82,5
2019Q4,5.9,5.7,6,82.2,5.2
2020Q1,-2,5.5,5.5,83,6.5
2020Q2,-4.5,5.2,4.5,84,7.5
2020Q3,-1,5,4.5,84.5,7
2020Q4,2,5.3,4.75,84.8,6.8
2021Q1,4,5.5,5,85,6.5
2021Q2,5,5.6,5.25,85.3,6
2021Q3,6,5.7,5.5,85.5,5.5
2021Q4,6.5,5.9,5.75,85.7,5
2022Q1,6.7,6.2,6,85.9,4.8
2022Q2,6.8,6.3,6.25,86,4.6
2022Q3,7,6.5,6.25,86.2,4.5
2022Q4,7.2,6.6,6.5,86.5,4.3
2023Q1,7.1,6.4,6.5,86.7,4.4
2023Q2,6.9,6.3,6.5,86.8,4.5
2023Q3,6.7,6.1,6.5,87,4.6
2023Q4,6.5,6,6.5,87.2,4.7
2024Q1,6.4,5.8,6.5,87.3,4.8
2024Q2,6.3,5.6,6.5,87.5,4.9
2024Q3,6.2,5.5,6.5,87.6,5
2024Q4,6,5.4,6.5,87.8,5.2
